name,label,data_type,value_labels,n_missing,complete_rate,
Supp_useful_7,How helpful where the sources of support to engage in Open Science practices? - Information & Technology Services (ITS),numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",589,0.070977918,
Supp_useful_8,How helpful where the sources of support to engage in Open Science practices? - Marketing and Communication,numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",604,0.047318612,
Supp_useful_9,How helpful where the sources of support to engage in Open Science practices? - Secretary’s office,numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",620,0.022082019,
Supp_useful_10,How helpful where the sources of support to engage in Open Science practices? - Human Resources,numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",629,0.007886435,
Supp_useful_11,How helpful where the sources of support to engage in Open Science practices? - Center for Science and Culture,numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",628,0.009463722,
Supp_useful_12,"How helpful where the sources of support to engage in Open Science practices? - Other, namely.....",numeric,"1. Not at all helpful (1),2. (2),3. (3),4. (4),5. Very helpful (5)",594,0.063091483,
QPROFSELF_1,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_2,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_3,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",195,0.692429022,
QPROFSELF_4,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_5,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_6,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_7,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_8,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",193,0.695583596,
QPROFSELF_9,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_10,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",193,0.695583596,
QPROFSELF_11,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_12,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",194,0.694006309,
QPROFSELF_13,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",196,0.690851735,
QPROFSELF_14,Your academic identityAcademics differ a great deal in their competencies and values in their work and also the role of open science in it. With the following questions we would like to gain more insight in who you are at work. If you had to describe you,numeric,"1. Totally not applicable(1),2. (2),3. (3),4. (4),5. Totally applicable(5)",198,0.687697161,
QSUCCESS_1,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_2,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",206,0.675078864,
QSUCCESS_3,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",206,0.675078864,
QSUCCESS_4,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_5,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_6,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_7,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_8,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",206,0.675078864,
QSUCCESS_9,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_10,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",206,0.675078864,
QSUCCESS_11,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_12,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_13,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
QSUCCESS_14,The following questions relate to your idea of a successful academic. Think about the academics in your field who are considered successful and have reached top positions. Please indicate to what extent you believe that the following characteristics ar,numeric,"1. Not important at all (1),2. (2),3. (3),4. (4),5. Very important (5)",207,0.673501577,
IdentityMat_1,The following questions are about how important your work as an academic is to you. Please indicate to what extent you agree with the following statements: - I am proud to be academic,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5)",201,0.6829653,
IdentityMat_2,The following questions are about how important your work as an academic is to you. Please indicate to what extent you agree with the following statements: - Being an academic is an important part of my identity,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5)",201,0.6829653,
IdentityMat_3,The following questions are about how important your work as an academic is to you. Please indicate to what extent you agree with the following statements: - I consider it important to be successful in academia,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5)",201,0.6829653,
IdentityMat_4,The following questions are about how important your work as an academic is to you. Please indicate to what extent you agree with the following statements: - I am confident about my career as an academic,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5)",202,0.681388013,
TRIPLE_Aw,Are you familiar with the TRIPLE model as described above?,numeric,"1. Not at all familiar,2. Slightly familiar,3. Somewhat familiar,4. Quite familiar,5. Very familiar",204,0.678233438,
Q_TEAMBELONG_1,Think about the teams or groups you belong to in your work. These can be from both within as well as outside the UU/UMCU (or a combination thereof) as long as these team memberships correspond to your professional role as an academic.Please respond to,numeric,"1. Strongly Disagree(1),2. (2),3. (3),4. (4),5. Strongly Agree(5)",218,0.65615142,
Q_TEAMBELONG_2,Think about the teams or groups you belong to in your work. These can be from both within as well as outside the UU/UMCU (or a combination thereof) as long as these team memberships correspond to your professional role as an academic.Please respond to,numeric,"1. Strongly Disagree(1),2. (2),3. (3),4. (4),5. Strongly Agree(5)",218,0.65615142,
Q_TEAMBELONG_3,Think about the teams or groups you belong to in your work. These can be from both within as well as outside the UU/UMCU (or a combination thereof) as long as these team memberships correspond to your professional role as an academic.Please respond to,numeric,"1. Strongly Disagree(1),2. (2),3. (3),4. (4),5. Strongly Agree(5)",218,0.65615142,
Q_TEAMBELONG_4,Think about the teams or groups you belong to in your work. These can be from both within as well as outside the UU/UMCU (or a combination thereof) as long as these team memberships correspond to your professional role as an academic.Please respond to,numeric,"1. Strongly Disagree(1),2. (2),3. (3),4. (4),5. Strongly Agree(5)",218,0.65615142,
QTEAM_ROLE_1,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - I am treated as a valued member in this team,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",241,0.619873817,
QTEAM_ROLE_2,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - I feel that people really care about my contribution to the team,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",242,0.61829653,
QTEAM_ROLE_3,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - People in my team listen to me even when my views are dissimilar,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",242,0.61829653,
QTEAM_ROLE_4,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - During meetings I am comfortable expressing opinions that diverge from my team,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",242,0.61829653,
QTEAM_ROLE_5,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - We have several clear goals in my team that we want to attain as a group,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",241,0.619873817,
QTEAM_ROLE_6,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - We are collectively held accountable for our performance in this team,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",242,0.61829653,
QTEAM_ROLE_7,"Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - In order to complete the work, my colleagues and I have to exchange information and advice",numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",242,0.61829653,
QTEAM_ROLE_8,Think about your role as a team member in the team most important to you (that you wrote down above) To what extent do you agree with the following statements? - I have a one-person job: I rarely check in with colleagues in my team to do my work proper,numeric,"1. Strongly Disagree (1),2. (2),3. (3),4. (4),5. Strongly Agree (2)",241,0.619873817,
Q_Teamdiv_1,What is the team composition of the team you answered the above questions about? My team members are ... (please select all that apply) Academics from my own field/discipline,numeric,1. Academics from my own field/discipline,293,0.53785489,
Q_Teamdiv_2,What is the team composition of the team you answered the above questions about? My team members are ... (please select all that apply) Academics from other fiels cross-discipline),numeric,1. Academics from other fiels cross-discipline),434,0.315457413,
Q_Teamdiv_3,What is the team composition of the team you answered the above questions about? My team members are ... (please select all that apply) Academic colleagues from outside the UU/UMCU (at other universities),numeric,1. Academic colleagues from outside the UU/UMCU (at other universities),486,0.233438486,
Q_Teamdiv_4,"What is the team composition of the team you answered the above questions about? My team members are ... (please select all that apply) Colleagues that are part of the support staff of UU/UMCU (e.g., ICT, project coordinators, Research Support Officers",numeric,"1. Colleagues that are part of the support staff of UU/UMCU (e.g., ICT, project coordinators, Research Support Officers(RSO",571,0.099369085,
Q_Teamdiv_5,What is the team composition of the team you answered the above questions about? My team members are ... (please select all that apply) From outside academia (non-academic stakeholders from companies/institutions/organisations),numeric,1. From outside academia (non-academic stakeholders from companies/institutions/organisations),543,0.143533123,
Q_LEADER,"Do you currently fulfil a formal leadership role? To illustrate this role, do you hold yearly assessment conversations (B&O) with people for whom you are their formal supervisor?",numeric,"1. Yes,2. No",235,0.629337539,
Q_TRIPLESUBUSE,Have you already been asked to use TRIPLE model as a basis to evaluate your academic performance during formal assessment (B&O) conversations? - Selected Choice,numeric,"1. Yes,2. No,3. Sort of, namely...",405,0.361198738,
QTRIPLE_SUBNORM_1,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",440,0.305993691,
QTRIPLE_SUBNORM_2,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",440,0.305993691,
QTRIPLE_SUBNORM_3,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",440,0.305993691,
QTRIPLE_SUBNORM_4,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",441,0.304416404,
QTRIPLE_SUBNORM_5,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",440,0.305993691,
QTRIPLE_SUBNORM_6,"Think about your latest performance evaluation.  Looking back on that conversation, some aspects of the TRIPLE model may have been given more weight than others in evaluating your academic performance. How much importance did your supervisor/department",numeric,"1. Not at all considered important,2. Considered low in importance,3. Considered moderately important,4. Considered highly important,5. Considered essential",440,0.305993691,
QTRIPLE_SUBATT_1,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_SUBATT_2,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_SUBATT_3,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_SUBATT_4,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_SUBATT_5,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_SUBATT_6,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn about your opinion about the TRIPLE model.Please respond to the following statemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",610,0.03785489,
QTRIPLE_LEADUSE,Have you already been using the TRIPLE model as a basis to evaluate the academic performance of your employees during formal assessment (B&O) conversations? - Selected Choice,numeric,"1. Yes,2. No,3. Sort of, namely...",467,0.26340694,
Q_TRIPLE_LEADREL_1,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
Q_TRIPLE_LEADREL_2,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
Q_TRIPLE_LEADREL_3,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
Q_TRIPLE_LEADREL_4,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
Q_TRIPLE_LEADREL_5,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
Q_TRIPLE_LEADREL_6,"Think about the recent performance evaluation conversations (B&O) you have had with your employees.  Looking back on those conversations, how much importance did you typically give to each of the six aspects of the TRIPLE model in assessing how success",numeric,"1. Not at all important,2. Low importance,3. Moderate importance,4. High importance,5. Absolutely essential",474,0.252365931,
QTRIPLE_LEADATT_1,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",576,0.09148265,
QTRIPLE_LEADATT_2,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",577,0.089905363,
QTRIPLE_LEADATT_3,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",577,0.089905363,
QTRIPLE_LEADATT_4,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",577,0.089905363,
QTRIPLE_LEADATT_5,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",577,0.089905363,
QTRIPLE_LEADATT_6,The TRIPLE model was designed as a new recognition and reward standard because it adheres to the open science climate that UU wants to strive for. We would like to learn more from you about your opinion about working with the TRIPLE model as a formal super,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",577,0.089905363,
Q_FUTCAR_1,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - UU’s transition to ope,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",244,0.615141956,
Q_FUTCAR_2,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - I engage in open science,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",245,0.613564669,
Q_FUTCAR_3,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - I worry that open scienc,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",244,0.615141956,
Q_FUTCAR_4,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - I fear that the implemen,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",243,0.616719243,
Q_FUTCAR_5,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - Due to the open science,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",243,0.616719243,
Q_FUTCAR_6,These are the last questions before we come to a closing. We would like to learn how a culture change towards open science affects your perceptions about your future career in academia. Please respond to the statements below. - If open science is becom,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",243,0.616719243,
Q_LEARN,I learned something new by filling out this survey,numeric,"1. Strongly disagree,2. Disagree,3. Neither agree nor disagree,4. Agree,5. Strongly agree",242,0.61829653,
Q_DIFFICULTY,Answering the questions in this survey was ...,numeric,"1. Very difficult,2. Somewhat difficult,3. Neutral,4. Easy,5. Very easy",242,0.61829653,
,,,,,,
,,,,,,